p_val avg_log2FC pct.1 pct.2 p_val_adj
PDK4 6.17560471272483e-44 -0.271719688218036 0.043 0.121 2.13793259549821e-39
STAC 8.42233301179069e-44 -0.358458790680185 0.029 0.1 2.91572746535182e-39
TAB2 1.00794184682206e-43 0.281546610679826 0.809 0.733 3.48939387951328e-39
TNK2 1.29704594721045e-43 0.309616800228292 0.579 0.469 4.49024336464784e-39
PABPC1 1.41898883127126e-43 -0.292671849192424 0.515 0.628 4.91239743497799e-39
KDR 2.23302964043155e-43 0.390880244858259 0.554 0.449 7.73052531220998e-39
PDGFD 2.46947283330398e-43 -0.294091282962364 0.8 0.869 8.54906800161503e-39
RAP1GAP2 4.18771695802589e-43 -0.302486178304052 0.082 0.173 1.44974573369898e-38
SLC38A4-AS1 6.4640977415593e-43 0.313818882916536 0.854 0.796 2.23780599715041e-38
ABCG1 6.63782854724863e-43 -0.316972063748659 0.168 0.279 2.297949864772e-38
ADAMTS6 7.05514875765752e-43 -0.466093175362494 0.253 0.362 2.44242194841346e-38
NECTIN2 7.65751843360441e-43 0.269818543411315 0.336 0.225 2.65095630652951e-38
SLC16A1 1.6291196251605e-42 0.32945133231939 0.508 0.395 5.63984923034312e-38
ATP1B1 1.63205951395887e-42 -0.276333611630046 0.642 0.73 5.6500268313742e-38
RANBP9 2.60575926259611e-42 -0.332199901358002 0.532 0.628 9.02087799118148e-38
GRK5 3.11959636877895e-42 0.269399556660154 0.161 0.081 1.07997306690758e-37
RBM20 3.23112437832255e-42 0.258266624148434 0.903 0.866 1.11858294853148e-37
ENSG00000259692 3.333771081631e-42 -0.273095968216659 0.843 0.895 1.15411821074983e-37
PLS3 4.52127854311908e-42 -0.333669276260237 0.481 0.586 1.56522141884239e-37
TXLNB 7.40637509197655e-42 -0.312953171557432 0.188 0.294 2.56401299309136e-37
AGA-DT 8.08094497430835e-42 -0.308735942960801 0.385 0.503 2.79754234065581e-37
HIP1 1.14648529274146e-41 0.270858490050731 0.7 0.602 3.96901743494167e-37
RAI14 1.35702438222742e-41 0.287434983646475 0.489 0.37 4.6978827088331e-37
VLDLR 1.82912088772626e-41 -0.420852452218463 0.153 0.252 6.33223360121954e-37
STAG2 2.38703018303496e-41 -0.298927085046193 0.445 0.546 8.26365979064872e-37
SLC16A12 3.98877124103144e-41 0.345504220732304 0.49 0.376 1.38087271593267e-36
CMIP 4.49620017386706e-41 0.267862866437295 0.582 0.473 1.55653953819104e-36
AHNAK 6.39960023032861e-41 -0.259985699506048 0.671 0.758 2.21547760373746e-36
GABRB2 7.35168947664381e-41 0.558143419986202 0.375 0.273 2.54508137991932e-36
PLCL1 1.0951470013393e-40 0.345389899289312 0.863 0.804 3.79128940393651e-36
ACSL3 1.381571836869e-40 0.296849747687557 0.538 0.432 4.78286354205681e-36
SLC5A3 1.90330367704037e-40 -0.341776110963727 0.412 0.517 6.58904699954607e-36
ST3GAL1 1.9305196960934e-40 -0.314050285255669 0.726 0.784 6.68326613590575e-36
NCOA1 2.16870704488353e-40 -0.270200685111085 0.595 0.698 7.50784691868229e-36
CALN1 2.55869861657012e-40 -0.33550514633786 0.041 0.115 8.85795874070409e-36
FLRT2 3.14383950500034e-40 -0.694968786612351 0.47 0.575 1.08836579823607e-35
KCNMB4 3.34948376073432e-40 -0.411871692631712 0.285 0.392 1.15955778312861e-35
RASGRP3 3.67571010201983e-40 0.289281399815818 0.288 0.187 1.27249408021824e-35
TEX41 6.46871878282906e-40 -0.485281447586317 0.102 0.194 2.23940575542759e-35
ENSG00000283674 6.76249931295684e-40 0.534403524159145 0.216 0.128 2.34110963715253e-35
HSP90B1 1.13361984541262e-39 -0.350597895615599 0.597 0.683 3.92447854283394e-35
NPAS3 1.2155252555676e-39 0.329521994752754 0.417 0.305 4.20802688224947e-35
NRXN3 2.30794097180305e-39 -0.37293285931967 0.102 0.193 7.98986085028499e-35
FHL1 2.36900591025851e-39 0.268990963505651 0.499 0.382 8.20126156072393e-35
SDK2 2.88637773102047e-39 0.274958915196559 0.702 0.61 9.99235106701978e-35
ATP2A2 3.10331492063492e-39 -0.31360710941246 0.685 0.749 1.0743365923746e-34
PIP5K1B 3.20300238016789e-39 0.304240309645881 0.498 0.388 1.10884739399032e-34
TCEAL4 5.98071685090553e-39 -0.251976420792527 0.159 0.26 2.07046436661498e-34
UBE2H 6.26166273152207e-39 0.254598727271296 0.827 0.776 2.16772502102563e-34
HAND2-AS1 1.28587126141038e-38 0.278481866934316 0.518 0.403 4.45155771987659e-34
COL4A5 2.20284876157565e-38 -0.261190523208422 0.784 0.834 7.62604212769874e-34
TACC1 2.84649987938775e-38 -0.312954473336685 0.232 0.34 9.85429793245247e-34
AFG3L2 2.92996695482382e-38 -0.270932582616531 0.456 0.556 1.01432526009046e-33
PARM1 3.46931458527702e-38 -0.250588795720841 0.103 0.196 1.20104201627705e-33
ATP5F1A 4.2380202883393e-38 -0.276737752508156 0.435 0.536 1.46716024362018e-33
LRRC7 1.32025439609318e-37 -0.600965734774506 0.095 0.18 4.570588693835e-33
AFF1 2.2134066097763e-37 -0.264945612907517 0.743 0.803 7.66259234238456e-33
FGFR2 3.28648402201674e-37 -0.321792494281412 0.199 0.308 1.13774790358197e-32
ENSG00000287069 3.37937597394297e-37 -0.349362946250848 0.17 0.269 1.16990616841932e-32
RUNX1T1 1.41819925724667e-36 0.251355892725292 0.922 0.892 4.90966400866224e-32
MARCHF1 1.55010102522877e-36 -0.774206955914815 0.281 0.378 5.36629473923949e-32
THBS1 1.97226338397548e-36 -0.788872320776406 0.278 0.384 6.82777860898471e-32
EPHA3 3.08985592519421e-36 -0.290359035035499 0.632 0.721 1.06967722274298e-31
HADHA 3.35773758714275e-36 -0.283394073196142 0.428 0.527 1.16241517529295e-31
MYH7B 4.7558354956194e-36 -0.353102142086192 0.541 0.614 1.64642269022848e-31
SORCS2 5.86791964565347e-36 -0.29361770437443 0.427 0.534 2.03141510212877e-31
PRELID2 8.84148801434467e-36 -0.412556562056575 0.368 0.474 3.06083473568598e-31
EEPD1 9.9430732174965e-36 -0.253654597940072 0.063 0.139 3.44219251716511e-31
BRINP3 1.27517901846687e-35 -0.609232100151043 0.086 0.17 4.41454224403044e-31
OXR1 1.37279878461032e-35 0.461630380043177 0.523 0.426 4.75249211244247e-31
PDE4D 1.40808369099546e-35 0.259728082762207 0.428 0.319 4.8746449298572e-31
OFD1 1.77995619170378e-35 -0.263814403058367 0.224 0.327 6.1620303400593e-31
CD109 2.81479917134577e-35 -0.284695092119396 0.203 0.303 9.74455325128193e-31
RPS6 3.49681474857405e-35 -0.254009458377577 0.274 0.381 1.21056229780885e-30
GRIK1 3.70531175111103e-35 0.838919361919189 0.152 0.083 1.28274187511713e-30
TLCD4 4.89686517463773e-35 0.254975281876719 0.371 0.267 1.69524575480784e-30
COL5A1 5.30362198053823e-35 0.279603314383946 0.414 0.31 1.83606089344253e-30
FHL2 6.36755589860004e-35 0.347893556137806 0.809 0.766 2.20438417653635e-30
ANO5 6.44443370719768e-35 0.274154421661934 0.448 0.341 2.23099850509476e-30
ANOS1 8.08212525037644e-35 -0.277634119530561 0.064 0.139 2.79795094042782e-30
FLNC 1.08182656592272e-34 0.296051215033363 0.739 0.667 3.74517538856785e-30
RSPO3 1.49473163282965e-34 0.418026480328461 0.569 0.486 5.17461143969296e-30
SDHA 2.17174487648114e-34 -0.289041046460138 0.333 0.433 7.51836358789007e-30
LINC02208 2.39840498421677e-34 -0.303889120183883 0.054 0.125 8.30303821486005e-30
GUCY1A2 2.96795369047965e-34 0.288701571406941 0.148 0.078 1.02747588810715e-29
JAK1 3.79439396989678e-34 -0.308053395048975 0.444 0.543 1.31358124843857e-29
NPNT 4.68207241502499e-34 -0.388173846300618 0.279 0.371 1.6208866493575e-29
CNTN4 5.28074977354691e-34 0.391962638591605 0.286 0.194 1.8281427641042e-29
ENSG00000234352 1.25556793157962e-33 0.277777363107748 0.523 0.425 4.34665062233549e-29
RPL3 1.8080142618309e-33 -0.261095515591048 0.329 0.427 6.25916457303238e-29
ENSG00000248994 2.02843942451147e-33 0.286972135560532 0.548 0.445 7.02225444371626e-29
FRMD3 3.81140912154266e-33 -0.329471874266917 0.285 0.381 1.31947172378685e-28
ATP5F1B 3.8375652969752e-33 -0.26818001637866 0.394 0.491 1.32852673015984e-28
CLSTN2 4.29723163301915e-33 -0.39242337632745 0.062 0.133 1.4876586190349e-28
SCUBE3 9.13520480924841e-33 0.263581480584696 0.653 0.567 3.16251655291371e-28
PREX1 1.08990346199283e-32 -0.315601118600928 0.236 0.332 3.77313679507299e-28
LINGO2 1.32456705049914e-32 -0.323090743538712 0.12 0.206 4.58551867212297e-28
CAMK1D 1.47542245985034e-32 0.268815345893617 0.325 0.231 5.10776501375589e-28
SOX6 1.66208909123138e-32 0.263971573241524 0.846 0.8 5.7539862249339e-28
LHFPL6 1.68339846659811e-32 -0.286697323006528 0.365 0.473 5.827757151516e-28
TRIM2 1.81137015627407e-32 0.250387302183542 0.695 0.608 6.27078234400519e-28
MATN2 2.64693757218585e-32 -0.28397904319783 0.349 0.449 9.16343318115019e-28
MECOM 2.72446866111217e-32 -0.25891230276918 0.544 0.657 9.43183805790423e-28
CHSY1 3.01898381024202e-32 0.271035683062575 0.357 0.258 1.04514200526769e-27
ENSG00000271945 9.20125906109071e-32 -0.72773607776041 0.126 0.204 3.18538387435899e-27
TRIQK 9.32433545755939e-32 0.32360144530827 0.285 0.198 3.22799169205248e-27
P4HA1 1.11965625902161e-31 0.276939186475025 0.41 0.314 3.8761380031069e-27
HDAC2-AS2 1.15117411058006e-31 0.340719036757567 0.266 0.182 3.98524965341711e-27
COL25A1 1.80027824778799e-31 -0.399334619420518 0.048 0.113 6.23238326601725e-27
VLDLR-AS1 1.94161242672052e-31 -0.480710618135909 0.137 0.218 6.72166806006378e-27
KLHL24 2.32362576457077e-31 -0.263705317829961 0.453 0.546 8.04416003436755e-27
AFF3 3.06109423261087e-31 0.254242131468456 0.89 0.85 1.05972021238756e-26
SLC4A8 3.42689749447585e-31 -0.362442413217852 0.133 0.216 1.1863576436126e-26
MYH9 5.05444881138258e-31 -0.251831825052621 0.699 0.759 1.74979963401254e-26
IL1RAPL1 5.46130664464449e-31 -0.469224949107791 0.259 0.358 1.89064974730948e-26
CHSY3 5.65125183173796e-31 0.259580661299516 0.684 0.574 1.95640687162936e-26
DNAH14 7.61390202117731e-31 -0.257929055841324 0.503 0.592 2.63585674071137e-26
P2RX1 7.78089448009632e-31 -0.26812243877482 0.423 0.519 2.69366786006455e-26
ARGLU1 1.05940908840769e-30 -0.260885097126366 0.445 0.532 3.66756832315858e-26
SDK1 1.72115331013242e-30 -0.313402833592227 0.368 0.465 5.95846064434743e-26
COL5A2 2.66061111452004e-30 -0.318164990676864 0.245 0.34 9.21076961735691e-26
TSPAN12 3.56717120130888e-30 -0.254497160708441 0.084 0.157 1.23491899818112e-25
TIAM1 4.40696882981769e-30 -0.291333248648247 0.611 0.686 1.52564853919458e-25
SPOCK1 5.29358887631075e-30 -0.272569339267482 0.67 0.742 1.83258753309002e-25
PRDM16 7.80032670890219e-30 0.338990305141513 0.524 0.433 2.70039510335485e-25
ADAM9 8.14461876863296e-30 -0.301764008726597 0.45 0.538 2.81958557151304e-25
MT-CYB 1.3068725262046e-29 0.257447166406473 0.768 0.73 4.52426199846771e-25
GULP1 1.51790424713454e-29 0.296483377575649 0.38 0.283 5.25483271315507e-25
PCSK5 1.65864954387912e-29 0.280198534234886 0.266 0.182 5.74207885595514e-25
LEF1 2.4046989614953e-29 -0.308895968872259 0.168 0.253 8.32482733480057e-25
FAM20A 2.54364839896514e-29 -0.424156088195346 0.072 0.138 8.80585639237741e-25
GJA1 1.36484099747822e-28 -0.29377132001819 0.307 0.403 4.72494304916983e-24
LARGE1 1.51870182313813e-28 -0.325464685172097 0.641 0.702 5.25759384152191e-24
DIPK2A 1.61666776430229e-28 -0.293235862188176 0.249 0.341 5.59674213323811e-24
CRIM1 2.6133178138139e-28 -0.295908948336019 0.408 0.502 9.04704493964233e-24
DAP 6.79800374763335e-28 0.262281889846793 0.595 0.516 2.35340091739319e-23
LINC01876 8.86557684839341e-28 -0.292562155296358 0.571 0.648 3.06917404914532e-23
SYTL5 1.04443868596107e-27 -0.306356714956794 0.432 0.52 3.61574228692863e-23
STARD9 2.68325535739748e-27 -0.301501935968568 0.388 0.465 9.28916172177433e-23
HADHB 3.04452319797313e-27 -0.262050920211172 0.279 0.366 1.05398348590632e-22
CHN2 3.21314434350101e-27 -0.273891517556973 0.6 0.668 1.11235844027662e-22
KDM3A 7.4269632426443e-27 -0.253996703926379 0.377 0.466 2.57114040497103e-22
TRPC3 9.43063996530165e-27 0.310659585460172 0.564 0.478 3.26479324958778e-22
CACHD1 9.72466547705891e-27 0.365109427941074 0.685 0.618 3.36658194150302e-22
SYNDIG1 1.77558210720325e-26 0.267335338308725 0.287 0.204 6.14688769692693e-22
KC6 2.63356068936265e-26 0.272671820345398 0.341 0.251 9.11712375050456e-22
ISOC1 5.46115516425731e-26 0.260610790003112 0.494 0.406 1.89059730631424e-21
COL1A1 9.59331024255299e-26 -0.449126109931902 0.182 0.257 3.32110807286942e-21
ROBO2 1.23004458685889e-25 -0.369018690997018 0.064 0.126 4.25829135524678e-21
EFNB2 1.43143130588282e-25 -0.275545716320653 0.145 0.221 4.95547203783573e-21
MIR3171HG 2.02196875872834e-25 -0.256346861992872 0.576 0.661 6.99985364584165e-21
AMOTL1 2.10248806714301e-25 -0.312069871079169 0.135 0.211 7.27860343964238e-21
NUMA1 2.48335633038705e-25 -0.281037959313646 0.401 0.476 8.59713128016694e-21
KCNH7 2.69815551711611e-25 -0.282467175584568 0.944 0.959 9.34074458470425e-21
MIR181A1HG 5.39906083099554e-25 0.31396440660619 0.465 0.377 1.86910086908235e-20
NAMPT 5.58597933593085e-25 -0.334495936290533 0.234 0.317 1.9338101863059e-20
BCL6 8.03980466491109e-25 -0.256302874711878 0.261 0.347 2.78329997694557e-20
SLC44A5 1.62809643916457e-24 0.298914370702581 0.232 0.161 5.63630706274384e-20
PROX1 5.50557230174363e-24 -0.259946836730437 0.5 0.567 1.90597407514063e-19
CNTN5 5.69753027983418e-24 -0.561534987124421 0.122 0.193 1.9724280075758e-19
ZNF385B 7.7561016039352e-24 -0.44414144393412 0.11 0.177 2.68508481426633e-19
ENSG00000253471 1.25863600409339e-23 0.299504099775064 0.255 0.18 4.3572719825709e-19
ALCAM 3.10747035708898e-23 -0.271065545356687 0.249 0.335 1.07577516292063e-18
MGLL 3.13722527936485e-23 -0.349375780924174 0.117 0.184 1.08607601946332e-18
SHISA6 3.42583072735454e-23 -0.425043324037055 0.053 0.106 1.18598833950287e-18
PRKCA 7.65630067380564e-23 -0.295071112014291 0.68 0.726 2.65053473026477e-18
MTSS1 1.28440232528074e-22 0.257151275478367 0.682 0.615 4.44647240988939e-18
SYNJ2 1.71956858409832e-22 -0.268713200324227 0.341 0.42 5.95297448128996e-18
YBX3 3.89653626764554e-22 -0.254306752544935 0.31 0.39 1.34894189049621e-17
ADAMTS3 4.04986022763333e-22 -0.258996853852522 0.304 0.389 1.40202111220438e-17
CXCL12 4.4067716946699e-21 0.308429359247921 0.552 0.488 1.52558029297777e-16
ENSG00000235450 5.41946481064361e-21 0.305513136174511 0.222 0.157 1.87616452279671e-16
MAN1C1 8.52085746369529e-20 0.264438217226834 0.643 0.584 2.94983564535667e-15
WWOX 1.09883362854462e-19 0.253896379914207 0.646 0.586 3.80405213865861e-15
FAM110B 1.87635987145198e-19 -0.26203267285253 0.408 0.479 6.49577023897963e-15
PLCXD3 1.91017481677011e-19 -0.30088155234852 0.295 0.37 6.61283419817646e-15
KCNQ3 2.39557077682665e-19 0.276653184536502 0.45 0.37 8.29322647229617e-15
GRAMD1B 3.99355193539572e-19 0.271546263267109 0.674 0.619 1.38252774451465e-14
PCGF5 7.44542122711949e-19 -0.289417228474165 0.454 0.518 2.5775303746165e-14
IGSF1 3.14901713095016e-18 -0.266924127617282 0.441 0.506 1.09015824056364e-13
NCKAP5 4.98875878466797e-18 0.276547778571298 0.404 0.334 1.7270584036642e-13
STK38L 9.94876114278446e-18 -0.269245137093746 0.54 0.606 3.44416162002055e-13
GALNT17 1.19776535469764e-17 0.263560565886691 0.405 0.333 4.14654388142775e-13
SHROOM4 2.13832211698336e-16 0.295774990466194 0.456 0.394 7.40265733678468e-12
CADPS2 6.16889239717106e-16 -0.261927590944902 0.11 0.163 2.13560885897665e-11
DLGAP1 1.51902161665877e-15 -0.27532242438306 0.192 0.257 5.258700934711e-11
ITGA9 1.7196928393717e-15 0.267046007555829 0.263 0.203 5.95340464062088e-11
KLHL4 2.84644151049013e-15 -0.258122826973451 0.567 0.607 9.85409586516577e-11
TMTC1 1.90181502464485e-14 0.281321063345301 0.743 0.71 6.58389343381801e-10
PDGFC 2.28989795438802e-14 -0.268288967577297 0.197 0.253 7.92739772829589e-10
LRRC8C 3.75192988394221e-14 -0.272195498227633 0.175 0.231 1.29888060652195e-09
CCN1 1.43326110985528e-13 -0.259225702827628 0.243 0.298 4.96180663620798e-09
FAT3 2.05286930386969e-13 -0.274103422731041 0.429 0.487 7.1068282430665e-09
CPNE5 9.21398285338596e-13 -0.274300886213555 0.21 0.262 3.18978872401368e-08
CDH13 1.01951740492718e-12 0.318230206815168 0.263 0.208 3.5294673041174e-08
FN1 2.07727687904206e-12 -0.323266554526086 0.184 0.232 7.19132482755569e-08
ST6GALNAC5 1.71846855119841e-11 0.28720167918928 0.203 0.155 5.94916627739377e-07
NKAIN3 6.47704189673961e-10 -0.442339761778961 0.11 0.148 2.24228713423229e-05
PCDH11X 1.54448625513644e-09 0.278707316152233 0.148 0.111 5.34685696665685e-05
RELN 1.66650330385237e-09 0.274895743592118 0.132 0.097 5.7692677876065e-05
CTNNA2 1.97309824665749e-09 -0.416314683418431 0.274 0.218 6.83066882010357e-05
SDC2 3.02421437166839e-09 -0.294180104038393 0.358 0.397 0.000104695277332788
VAV3 3.87693213548913e-09 -0.263135785986443 0.096 0.133 0.000134215513598498
GNAI1 2.35516203127473e-08 -0.293013077673595 0.171 0.207 0.000815333543606997
ZEB2 2.46217226906196e-08 0.342378403291069 0.687 0.672 0.000852379417826561
FGF12 1.24853391845598e-07 0.432225321491806 0.189 0.155 0.00432229957230274
NAV3 4.05616161360395e-07 0.375674855932092 0.605 0.595 0.0140420258901355
ENOX1 1.26202370050578e-06 -0.291273399712706 0.516 0.545 0.0436899984878097
CCN2 1.32850321399004e-06 -0.303062024670241 0.158 0.186 0.0459914527651211
IGFBP5 2.20052322980958e-06 0.355823809355296 0.596 0.591 0.0761799136927778
LINC02511 3.33750010681761e-06 -0.322747551336597 0.354 0.374 0.115540916197919
GRIP1 4.22949069456323e-05 0.286766529749138 0.373 0.345 1
SLIT3 0.000379691742140013 0.35367289619005 0.943 0.939 1
PRR16 0.00238261958969635 -0.576446217004802 0.338 0.35 1
FREM1 0.00841615477072729 0.496591649213662 0.606 0.625 1
DOK6 0.345710239297623 -0.296118810822914 0.527 0.511 1
